Travels Name,Bus Type,Price,Time
MSRTC  - 569930,SEMI LUXURY,240,00:15
MSRTC  - 371958,SEMI LUXURY,85,00:30
MSRTC  - 434042,PARIVARTAN DAY ORDINARY,200,04:15
MSRTC  - 368241,SEMI LUXURY,200,04:47
MSRTC  - 365784,SEMI LUXURY,65,05:00
MSRTC  - 470114,AC-SHIVNERI,615,05:00
MSRTC  - 452872,PARIVARTAN DAY ORDINARY,170,05:00
MSRTC  - 391905,AC-SHIVNERI,520,05:00
MSRTC  - 512339,AC-SHIVNERI,540,05:00
MSRTC  - 285074,AC-SHIVNERI,520,05:15
MSRTC  - 548750,PARIVARTAN DAY ORDINARY,190,05:15
MSRTC  - 470126,AC-SHIVNERI,540,05:30
MSRTC  - 571872,AC-SHIVNERI,615,05:30
MSRTC  - 285083,AC-SHIVNERI,520,05:31
MSRTC  - 368243,SEMI LUXURY,200,05:32
MSRTC  - 285075,AC-SHIVNERI,520,05:45
MSRTC  - 365406,SEMI LUXURY,270,05:45
MSRTC  - 454885,SEMI LUXURY,400,05:45
MSRTC  - 549600,PARIVARTAN DAY ORDINARY,170,05:45
MSRTC  - 533552,PARIVARTAN DAY ORDINARY,305,05:56
MSRTC  - 379483,PARIVARTAN DAY ORDINARY,205,06:00
MSRTC  - 472075,AC-SHIVNERI,615,06:00
MSRTC  - 262547,AC-SHIVNERI,540,06:00
MSRTC  - 6014,AC-SHIVNERI,520,06:00
MSRTC  - 497579,PARIVARTAN DAY ORDINARY,200,06:00
MSRTC  - 520076,SEMI LUXURY,290,06:00
MSRTC  - 549262,PARIVARTAN DAY ORDINARY,305,06:00
MSRTC  - 179106,AC-SHIVNERI,520,06:01
MSRTC  - 553997,SEMI LUXURY,310,06:01
MSRTC  - 490879,AC-SHIVNERI,520,06:03
MSRTC  - 362722,PARIVARTAN DAY ORDINARY,220,06:05
MSRTC  - 495187,DAY ORDINARY,200,06:10
MSRTC  - 622803,SEMI LUXURY,250,06:10
MSRTC  - 529651,DAY ORDINARY,215,06:15
MSRTC  - 367180,SEMI LUXURY,260,06:15
MSRTC  - 365409,SEMI LUXURY,270,06:15
MSRTC  - 17613,AC-SHIVNERI,520,06:15
MSRTC  - 496428,SEMI LUXURY,270,06:17
MSRTC  - 470127,AC-SHIVNERI,540,06:30
MSRTC  - 502518,PARIVARTAN DAY ORDINARY,205,06:30
MSRTC  - 471907,AC-SHIVNERI,615,06:30
MSRTC  - 555628,PARIVARTAN DAY ORDINARY,200,06:30
MSRTC  - 285084,AC-SHIVNERI,520,06:31
MSRTC  - 189630,AC-SHIVNERI,520,06:32
